months_as_customer,age,policy_state,policy_csl,policy_detuctable,policy_monthly_premium,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,total_policy_premium_by_months_customer
27,33, Illinois,100/300,500,"12,025",144299,FEMALE,PhD,other-service,golf,own-child,30/01/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,21,1,NO,1,YES,27700,2770,2770,22160,Toyota,2012,NO,324673
140,31,Indiana,500/1000,500,"5,905",70864,MALE,High School,machine-op-inspct,reading,unmarried,6/1/2015,Single Vehicle Collision,Side Collision,Total Loss,WV,9,1,NO,0,YES,77880,14160,7080,56640,Suburu,2015,NO,826747
237,40,Indiana,100/300,1000,"7,361",88331,MALE,College,craft-repair,kayaking,husband,24/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,VA,6,1,NO,1,NO,77880,7080,14160,56640,Ford,2005,NO,1744537
224,40,Ohio,100/300,2000,"1,076",12917,FEMALE,JD,sales,kayaking,not-in-family,8/1/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,21,1,NO,1,YES,69840,7760,15520,46560,Dodge,2009,NO,241117
241,45, Illinois,500/1000,2000,920,11045,FEMALE,PhD,machine-op-inspct,basketball,unmarried,15/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,5,1,NO,2,NO,91650,14100,14100,63450,Accura,2011,NO,221820
106,30,Ohio,250/500,500,"4,485",53817,FEMALE,PhD,transport-moving,reading,own-child,10/2/2015,Single Vehicle Collision,Rear Collision,Total Loss,NC,23,1,NO,2,NO,51120,5680,5680,39760,Mercedes,2005,NO,475384
119,32, Illinois,500/1000,1000,"8,279",99351,MALE,High School,armed-forces,bungie-jumping,unmarried,12/1/2015,Single Vehicle Collision,Side Collision,Minor Damage,WV,12,1,NO,0,YES,56300,5630,11260,39410,BMW,2011,NO,985231
128,30,Ohio,100/300,1000,"8,844",106133,MALE,MD,machine-op-inspct,movies,own-child,10/1/2015,Single Vehicle Collision,Front Collision,Major Damage,WV,8,1,NO,0,NO,68530,12460,6230,49840,Audi,1997,NO,1132085
199,41,Ohio,250/500,1000,"7,465",89583,FEMALE,Associate,sales,paintball,husband,11/2/2015,Single Vehicle Collision,Rear Collision,Minor Damage,NC,10,1,NO,1,NO,30100,3010,0,27090,Chevrolet,1999,NO,1485585
107,31, Illinois,500/1000,2000,"11,452",137422,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,26/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,16,1,NO,0,NO,51260,9320,9320,32620,Suburu,2002,NO,1225346
